omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.375,0.25,7,13,1.75,17,200,0.985,0.042324695587158206
0.375,0.25,7,14,2.0,17,200,0.995,0.057990337610244753
0.375,0.25,7,16,2.25,17,200,0.995,0.09621643662452697
0.375,0.25,7,18,2.5,17,200,1.0,0.14496806740760804
0.375,0.25,7,20,2.75,17,200,0.995,0.1975131392478943
0.375,0.25,7,21,3.0,17,200,1.0,0.2200127959251404
0.375,0.25,8,8,1.0,17,200,0.135,0.0013614630699157716
0.375,0.25,8,10,1.25,17,200,0.41,0.010450785160064697
0.375,0.25,8,12,1.5,17,200,0.83,0.02763386845588684
0.375,0.25,8,14,1.75,17,200,0.96,0.055264397859573364
0.375,0.25,8,16,2.0,17,200,0.98,0.0981422460079193
0.375,0.25,8,18,2.25,17,200,0.995,0.14871699929237367
0.375,0.25,8,20,2.5,17,200,0.995,0.20969363212585448
0.375,0.25,8,22,2.75,17,200,0.995,0.2727650535106659
0.375,0.25,8,24,3.0,17,200,0.99,0.335327672958374
0.375,0.25,9,9,1.0,17,200,0.055,0.001794203519821167
0.375,0.25,9,12,1.25,17,200,0.51,0.02332392930984497
0.375,0.25,9,14,1.5,17,200,0.845,0.05081623911857605
0.375,0.25,9,16,1.75,17,200,0.945,0.09180087566375733
0.375,0.25,9,18,2.0,17,200,0.96,0.14674153685569763
0.375,0.25,9,21,2.25,17,200,0.97,0.2533495187759399
0.375,0.25,9,23,2.5,17,200,0.975,0.32888208985328676
0.375,0.25,9,25,2.75,17,200,0.99,0.4127563893795013
0.375,0.25,9,27,3.0,17,200,0.975,0.5039871847629547
0.375,0.25,10,10,1.0,17,200,0.065,0.0023011481761932373
0.375,0.25,10,13,1.25,17,200,0.41,0.029608747959136962
0.375,0.25,10,15,1.5,17,200,0.715,0.06343805074691772
0.375,0.25,10,18,1.75,17,200,0.92,0.1447555375099182
0.375,0.25,10,20,2.0,17,200,0.965,0.21472980618476867
0.375,0.25,10,23,2.25,17,200,0.97,0.35096086382865904
0.375,0.25,10,25,2.5,17,200,0.955,0.4358919227123261
0.375,0.25,10,28,2.75,17,200,0.98,0.5759889996051788
0.375,0.25,10,30,3.0,17,200,0.97,0.6773134791851043
0.375,0.25,11,11,1.0,17,200,0.045,0.002979615926742554
0.375,0.25,11,14,1.25,17,200,0.35,0.036535844802856446
0.375,0.25,11,17,1.5,17,200,0.665,0.10634376883506774
0.375,0.25,11,20,1.75,17,200,0.865,0.21529043436050416
0.375,0.25,11,22,2.0,17,200,0.91,0.3057195794582367
0.375,0.25,11,25,2.25,17,200,0.93,0.45876323819160464
0.375,0.25,11,28,2.5,17,200,0.94,0.6182545304298401
