omega,tau,n,m,c_ratio,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,s_hat_babai,babai_secret_success,elapsed_sec
0.5,0.25,18,30,1.65,17,65,"[0, 1, 0, 0, 1, 0, 0, -1, -1, -1, 1, -1, 0, 1, 1, 0, 0, -1]","[0, 1, 0, 0, 1, 0, 0, 16, 16, 16, 1, 16, 0, 1, 1, 0, 0, 16]","[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, -1, -1, 1]","[-1, -5, 0, -1, -5, 10, -2, 2, -2, 7, -4, 8, -2, 2, 0, 4, -7, 0, 0, -5, 2, -3, -1, -3, -4, 3, 7, -2, 8, 7]","[6, 13, 9, 13, 2, 5, 10, 13, 13, 6, 2, 4, 7, 14, 11, 14, 12, 12]",False,9.339664936065674
0.5,0.25,18,30,1.65,17,66,"[-1, 0, 0, 1, -1, 0, 0, 0, 1, -1, -1, 1, 0, 0, 0, 1, -1, 1]","[16, 0, 0, 1, 16, 0, 0, 0, 1, 16, 16, 1, 0, 0, 0, 1, 16, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, 0]","[9, 1, 6, -2, 1, -1, -5, 6, -7, -7, 2, 5, 0, 6, 4, -3, 1, -8, -7, 5, -1, 0, 6, 5, -6, 4, -8, -5, -5, 6]","[12, 14, 8, 13, 8, 2, 5, 6, 11, 4, 10, 5, 11, 15, 10, 0, 16, 5]",False,4.384026765823364
0.5,0.25,18,30,1.65,17,67,"[1, 1, -1, 1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, 1]","[1, 1, 16, 1, 16, 16, 0, 0, 0, 0, 16, 0, 16, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1]","[0, 0, -2, 5, 4, 9, 6, -5, -9, -4, 3, 8, -1, 6, -1, -6, 7, 4, 0, -5, -7, 6, -7, -6, 7, 5, 7, -4, -2, 0]","[14, 4, 1, 12, 9, 0, 15, 7, 11, 10, 4, 3, 6, 13, 2, 13, 8, 15]",False,9.071226119995117
0.5,0.25,18,30,1.65,17,68,"[1, 0, -1, 0, 0, 1, 1, -1, 0, 0, 1, -1, 0, -1, 0, 0, 1, -1]","[1, 0, 16, 0, 0, 1, 1, 16, 0, 0, 1, 16, 0, 16, 0, 0, 1, 16]","[0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, -1]","[-2, 4, -3, 7, 2, 4, -4, 8, 10, -2, 3, 4, 5, 4, 8, -1, -5, -4, 1, 1, -6, 8, 6, -2, 6, -6, 5, 8, -8, -3]","[3, 15, 15, 4, 7, 13, 6, 5, 10, 16, 8, 12, 9, 7, 11, 14, 8, 15]",False,7.188565969467163
0.5,0.25,18,30,1.65,17,69,"[1, 1, 0, 0, -1, 0, -1, 1, 1, 0, -1, 0, 0, 0, 0, -1, 1, -1]","[1, 1, 0, 0, 16, 0, 16, 1, 1, 0, 16, 0, 0, 0, 0, 16, 1, 16]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0]","[-6, 3, 2, -4, -5, -7, 4, 3, 1, -2, -6, 1, 4, -8, -5, -5, -7, 1, 0, 5, 5, 1, -8, -6, -2, 7, 5, -8, 7, 6]","[1, 10, 5, 4, 5, 3, 5, 4, 0, 11, 13, 14, 2, 12, 5, 10, 12, 11]",False,10.500848770141602
0.5,0.25,18,30,1.65,17,70,"[1, 0, 1, -1, -1, 1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, 1, -1]","[1, 0, 1, 16, 16, 1, 0, 0, 0, 0, 0, 0, 16, 1, 16, 0, 1, 16]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]","[-5, 8, -6, -5, -7, -5, 7, 2, 2, -6, 2, -8, -5, 5, -3, -7, -4, 6, 8, 3, -5, 0, -8, 3, -4, 8, -1, -5, -1, 7]","[1, 0, 1, 16, 16, 1, 0, 0, 0, 0, 0, 0, 16, 1, 16, 0, 1, 16]",True,8.159846067428589
0.5,0.25,18,30,1.65,17,71,"[0, 0, 0, 1, -1, -1, 0, -1, 0, 0, -1, 1, 0, 1, 0, 1, 1, -1]","[0, 0, 0, 1, 16, 16, 0, 16, 0, 0, 16, 1, 0, 1, 0, 1, 1, 16]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1]","[-1, 5, 8, 6, 5, -2, -5, -7, -4, -6, 0, -2, 6, 1, 7, 2, 0, -4, -3, 2, 6, 4, -3, 6, -8, 8, -4, 5, -2, -3]","[0, 0, 0, 1, 16, 16, 0, 16, 0, 0, 16, 1, 0, 1, 0, 1, 1, 16]",True,10.607612133026123
0.5,0.25,18,30,1.65,17,72,"[0, 1, 0, -1, 1, 0, -1, 0, 1, 0, -1, -1, 0, 0, 1, 1, 0, -1]","[0, 1, 0, 16, 1, 0, 16, 0, 1, 0, 16, 16, 0, 0, 1, 1, 0, 16]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[3, -7, -8, 4, -1, -6, 0, 0, 4, 6, 0, -8, -2, 1, 1, -5, -8, 4, -1, 7, 2, 1, -1, -8, -8, 1, 7, 1, 8, -4]","[0, 1, 0, 16, 1, 0, 16, 0, 1, 0, 16, 16, 0, 0, 1, 1, 0, 16]",True,5.639271974563599
0.5,0.25,18,30,1.65,17,73,"[0, 1, 1, 1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 0, -1, 1]","[0, 1, 1, 1, 0, 16, 16, 16, 0, 0, 0, 16, 1, 0, 0, 0, 16, 1]","[-1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]","[-7, -4, 6, -2, -7, 5, -3, 2, -5, 1, -5, 1, -8, -3, -6, -4, 6, -8, -5, 3, -3, 1, -6, 6, 0, 3, 4, -3, -7, 5]","[0, 1, 1, 1, 0, 16, 16, 16, 0, 0, 0, 16, 1, 0, 0, 0, 16, 1]",True,10.45976185798645
0.5,0.25,18,30,1.65,17,74,"[0, -1, 0, 0, 0, 0, -1, 1, 1, 1, 0, 1, -1, 0, 0, -1, -1, 1]","[0, 16, 0, 0, 0, 0, 16, 1, 1, 1, 0, 1, 16, 0, 0, 16, 16, 1]","[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0]","[-8, -8, -2, -5, 4, -5, 2, -4, -7, -7, 4, 0, -5, 1, 4, 2, -2, -1, -8, -7, 3, 6, -3, 9, 7, 7, -1, 2, 2, 6]","[0, 16, 0, 0, 0, 0, 16, 1, 1, 1, 0, 1, 16, 0, 0, 16, 16, 1]",True,10.901480913162231
